"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
121600,3,1,"LOCAL","front","light","light","small",53,"dead","NO",45,"Licensed",45,33.33
121608,2,1,"LOCAL","front","light","light","small",69,"injured","NO",65,"Licensed",65,50.00
121616,2,1,"LOCAL","front","light","light","small",46,"injured","NO",75,"Licensed",70,50.00
121629,5,1,"LOCAL","front","light","light","small",59,"injured","NO",20,"Licensed",50,20.00
121639,2,1,"highway","front","light","light","small",68,"dead","NO",55,"Licensed",55,50.00
121650,3,1,"LOCAL","side","light","light","small",72,"injured","NO",20,"Licensed",0,33.33
121663,4,1,"LOCAL","front","light","light","small",26,"injured","NO",45,"Licensed",45,25.00
121690,2,1,"highway","front","light","light","LORRY",37,"dead","NO",100,"Licensed",30,50.00
121707,8,1,"LOCAL","front","light","mod","small",30,"dead","NO",75,"Licensed",70,12.50
121711,4,1,"LOCAL","front","dark","light","small",25,"injured","Yes",75,"Licensed",55,25.00
121715,2,1,"LOCAL","front","dark","light","small",30,"dead","Yes",115,"Licensed",70,50.00
121720,2,1,"highway","front","light","mod","small",58,"dead","NO",45,"Licensed",45,50.00
121727,5,1,"highway","front","light","light","small",72,"dead","Yes",50,"Licensed",45,20.00
121734,1,1,"LOCAL","front","light","light","small",73,"dead","NO",55,"Licensed",55,100.00
121740,2,1,"highway","side","light","light","LORRY",61,"dead","NO",60,"Licensed",60,50.00
121746,5,1,"LOCAL","front","light","light","small",38,"injured","NO",50,"Licensed",55,20.00
121752,4,1,"LOCAL","front","dark","light","small",52,"injured","NO",15,"Licensed",35,25.00
121779,3,1,"LOCAL","front","light","light","small",58,"injured","NO",15,"Licensed",45,33.33
121782,3,1,"LOCAL","front","dark","light","LORRY",25,"dead","Yes",70,"Licensed",45,33.33
121795,3,1,"highway","rear","dark","mod","small",22,"injured","NO",50,"Licensed",40,33.33
121796,2,1,"LOCAL","front","light","light","small",71,"injured","NO",15,"Licensed",25,50.00
121802,3,1,"LOCAL","front","light","light","small",32,"dead","NO",65,"Licensed",65,33.33
121827,2,1,"highway","front","light","light","small",81,"dead","NO",40,"Licensed",35,50.00
121830,2,2,"LOCAL","front","dark","light","small",40,"dead","Yes",45,"Licensed",45,100.00
121837,3,1,"LOCAL","front","light","light","small",48,"dead","NO",60,"Licensed",60,33.33
121840,4,1,"LOCAL","front","dark","mod","small",26,"injured","NO",45,"Licensed",45,25.00
121842,7,1,"highway","front","dark","light","small",25,"injured","Yes",35,"Licensed",35,14.29
121886,3,1,"highway","front","light","mod","small",54,"injured","Yes",55,"Licensed",55,33.33
121889,5,1,"LOCAL","front","light","light","small",28,"injured","NO",55,"Licensed",60,20.00
121895,2,1,"LOCAL","front","dark","light","small",20,"dead","NO",70,"Licensed",60,50.00
121918,2,1,"highway","front","dark","light","small",47,"injured","NO",40,"Licensed",40,50.00
121920,4,2,"highway","front","light","light","small",33,"dead","NO",88,"Licensed",45,50.00
121926,4,2,"LOCAL","front","dark","light","small",46,"dead","Yes",60,"No Lic",60,50.00
121930,10,1,"LOCAL","front","light","light","small",19,"dead","NO",80,"Licensed",55,10.00
121934,6,1,"highway","front","light","light","small",82,"injured","NO",35,"Licensed",35,16.67
121935,2,1,"highway","front","light","light","small",39,"injured","NO",60,"Licensed",30,50.00
121938,2,1,"LOCAL","front","dark","light","LORRY",51,"injured","NO",60,"Licensed",60,50.00
121940,4,1,"LOCAL","front","dark","light","small",42,"injured","Yes",70,"Licensed",70,25.00
121944,3,1,"LOCAL","front","dark","light","small",41,"dead","Yes",45,"Licensed",45,33.33
121955,9,1,"highway","front","light","light","small",69,"dead","NO",40,"Licensed",40,11.11
121965,3,1,"LOCAL","front","light","light","small",62,"injured","NO",25,"Licensed",35,33.33
121968,2,1,"LOCAL","front","dark","light","small",32,"injured","NO",70,"Licensed",70,50.00
121989,2,1,"LOCAL","front","dark","light","small",65,"dead","NO",15,"Licensed",55,50.00
121990,2,1,"LOCAL","front","dark","light","small",27,"dead","NO",50,"Licensed",50,50.00
121994,3,2,"LOCAL","front","light","light","small",41,"dead","NO",60,"Licensed",60,66.67
121999,5,2,"LOCAL","front","dark","light","small",22,"dead","NO",70,"Licensed",70,40.00
122008,7,1,"LOCAL","front","light","light","small",70,"injured","NO",70,"Licensed",70,14.29
122018,2,1,"LOCAL","side","light","light","small",80,"dead","NO",30,"Licensed",40,50.00
122026,2,1,"highway","front","light","light","small",84,"injured","NO",10,"Licensed",40,50.00
122038,10,1,"LOCAL","front","light","light","small",33,"injured","NO",70,"Licensed",70,10.00
122039,2,1,"LOCAL","front","light","light","small",66,"dead","NO",70,"Licensed",70,50.00
122040,2,1,"LOCAL","front","dark","light","small",25,"dead","Yes",55,"No Lic",55,50.00
122051,3,1,"highway","front","light","light","small",91,"dead","NO",45,"Licensed",45,33.33
122055,2,1,"highway","front","light","light","LORRY",70,"dead","NO",55,"Licensed",55,50.00
122058,2,1,"LOCAL","front","dark","light","small",62,"injured","NO",45,"Licensed",45,50.00
122064,3,1,"highway","front","light","light","small",50,"injured","NO",20,"Licensed",50,33.33
122067,2,1,"highway","front","light","light","small",56,"dead","NO",40,"No Lic",35,50.00
122068,4,3,"LOCAL","front","light","light","small",17,"dead","NO",55,"Licensed",55,75.00
122076,7,2,"LOCAL","side","light","light","small",43,"injured","NO",70,"Licensed",70,28.57
122077,2,1,"LOCAL","front","light","light","small",28,"injured","NO",15,"Licensed",50,50.00
122079,2,1,"LOCAL","side","light","light","small",31,"dead","NO",65,"Licensed",65,50.00
122085,2,1,"LOCAL","front","light","light","small",60,"dead","NO",50,"Licensed",50,50.00
122087,2,1,"LOCAL","front","light","light","small",55,"dead","NO",75,"Licensed",70,50.00
